"","region","population","sex","age","education","income","statusquo","vote"
"1","North",175000,"Male","65+","Primary",35000,1.0082,"Yes"
"2","North",175000,"Male","26-34","Post Secondary",7500,-1.29617,"No"
"3","North",175000,"Female","35-44","Primary",15000,1.23072,"Yes"
"4","North",175000,"Female","45-54","Primary",35000,-1.03163,"No"
"5","North",175000,"Female","18-25","Secondary",35000,-1.10496,"No"
"6","North",175000,"Female","26-34","Primary",7500,-1.04685,"No"
"7","North",175000,"Male","26-34","Post Secondary",35000,-0.78626,"No"
"8","North",175000,"Female","18-25","Secondary",15000,-1.11348,"No"
"9","North",175000,"Female","35-44","Primary",15000,-1.01292,"Undecided"
"10","North",175000,"Male","35-44","Primary",15000,-1.29617,"No"
"11","North",175000,"Male","55-64","Primary",15000,1.36566,"Yes"
"12","North",175000,"Male","18-25","Secondary",35000,1.02791,"Undecided"
"13","North",175000,"Female","26-34","Post Secondary",NA,1.43448,"Yes"
"14","North",175000,"Female","45-54","Secondary",75000,1.50684,"Yes"
"15","North",175000,"Male","35-44","Post Secondary",35000,1.49026,NA
"16","North",175000,"Male","18-25","Secondary",15000,-1.14189,"Abstain"
"17","North",175000,"Female","18-25","Post Secondary",15000,-0.85579,"No"
"18","North",175000,"Male","26-34","Secondary",35000,-0.90689,"Undecided"
"19","North",175000,"Male","65+","Primary",75000,1.32279,"Yes"
"20","North",175000,"Female","45-54","Secondary",2500,-1.05805,"Undecided"
"21","North",175000,"Female","35-44","Secondary",35000,1.38534,"Yes"
"22","North",175000,"Female","55-64","Post Secondary",35000,1.45602,"Yes"
"23","North",175000,"Male","18-25","Secondary",75000,1.54808,"Yes"
"24","North",175000,"Female","18-25","Post Secondary",35000,1.61471,"Yes"
"25","North",175000,"Male","55-64","Primary",35000,1.52601,"Yes"
"26","North",175000,"Female","26-34","Secondary",35000,0.55328,"Undecided"
"27","North",175000,"Female","26-34","Primary",7500,1.33619,"Abstain"
"28","North",175000,"Female","35-44","Primary",NA,0.15489,"Abstain"
"29","North",175000,"Male","18-25","Post Secondary",35000,-0.89281,"No"
"30","North",175000,"Male","45-54","Post Secondary",35000,-1.29617,"Abstain"
"31","North",175000,"Female","26-34","Post Secondary",35000,1.50986,"Yes"
"32","North",175000,"Female","35-44","Post Secondary",200000,0.96525,"Yes"
"33","North",175000,"Male","35-44","Post Secondary",7500,0.15489,"Undecided"
"34","North",175000,"Male","35-44","Post Secondary",35000,1.16851,"No"
"35","North",175000,"Male","18-25","Post Secondary",15000,-1.29617,"No"
"36","North",175000,"Female","35-44","Primary",35000,-0.35147,"Yes"
"37","North",175000,"Male","35-44","Primary",7500,1.43203,"Yes"
"38","North",175000,"Male","26-34","Secondary",35000,0.2636,"Abstain"
"39","North",175000,"Male","26-34","Primary",15000,0.11067,"Yes"
"40","North",175000,"Female","18-25","Primary",15000,0.72102,"Abstain"
"41","North",125000,"Female","26-34","Secondary",35000,1.00232,"Abstain"
"42","North",125000,"Male","26-34","Secondary",15000,-1.1517,"No"
"43","North",125000,"Female","35-44","Post Secondary",35000,1.40361,"Yes"
"44","North",125000,"Male","45-54","Primary",15000,0.52166,"Yes"
